datetime,Hm0,Tpeak,Dp,DirSpr,Hsig,RTpeak,Dir,FSpr
1999-04-21 00:00:00+00:00,1.5,13.33,109.78,26.97,1.32591,10.7197,107.42,0.384588
1999-04-22 00:00:00+00:00,1.45,12.5,132.28,47.34,1.40468,11.8843,106.708,0.392189
1999-04-23 00:00:00+00:00,1.29,13.33,122.44,33.46,1.60351,5.7735,129.837,0.15795
1999-04-25 00:00:00+00:00,1.44,12.5,184.31,27.3,1.48582,7.09611,91.0477,0.252384
1999-04-26 00:00:00+00:00,2.43,14.29,67.59,34.02,2.11733,11.8843,82.7623,0.426972
1999-04-27 00:00:00+00:00,2.36,13.33,74.62,23.5,2.27338,11.8843,85.8147,0.461492
1999-04-27 18:00:00+00:00,2.27,12.5,76.03,18.8,2.10986,11.8843,88.3972,0.406513
1999-04-28 00:00:00+00:00,2.55,12.5,76.03,21.37,2.03958,11.8843,91.6146,0.424774
1999-04-29 00:00:00+00:00,2.06,13.33,91.5,28.42,1.7762,11.8843,95.384,0.396318
1999-05-01 00:00:00+00:00,2.15,14.29,185.72,21.04,1.50595,10.7197,114.487,0.363817
1999-05-04 00:00:00+00:00,1.72,11.11,182.91,31.45,1.62488,8.7217,117.57,0.497012
2009-06-04 15:00:00+00:00,2.67,14.29,187.1,17.7,1.24006,11.8843,185.253,0.474582
2009-06-04 18:00:00+00:00,2.48,13.33,189.9,14.3,1.17911,11.8843,190.115,0.480352
2009-06-04 21:00:00+00:00,2.45,12.5,192.8,15.1,1.24095,11.8843,194.805,0.480307
2009-06-05 00:00:00+00:00,2.56,12.5,189.9,11.3,1.53932,11.8843,195.108,0.48879
2009-06-05 03:00:00+00:00,2.41,13.33,184.3,19.9,1.82739,13.1754,186.014,0.436651
2009-06-05 06:00:00+00:00,2.18,13.33,175.9,18.2,2.12999,10.7197,179.876,0.42299
2009-06-05 09:00:00+00:00,2.09,12.5,185.7,19.8,2.00049,9.66923,180.56,0.418418
2009-06-05 12:00:00+00:00,1.94,11.11,185.7,21.5,1.89366,9.66923,180.675,0.453087
2009-06-05 15:00:00+00:00,2.19,10.53,191.3,21.6,1.71387,9.66923,182.036,0.451523
2009-06-05 18:00:00+00:00,2.76,12.5,192.8,17.7,1.986,10.7197,186.954,0.471921
