month,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir
1999-02-01,2,2.65,2.61,182.905
1999-03-01,3,2.82,2.703333333333333,96.18666666666667
1999-04-01,6,2.7,2.6233333333333335,108.60833333333333
1999-05-01,5,3.74,2.87,168.844
1999-06-01,7,3.33,2.825714285714286,181.90142857142857
1999-07-01,10,3.22,2.694,150.844
1999-08-01,7,3.6,3.117142857142857,177.68285714285713
1999-09-01,2,3.62,3.16,161.10500000000002
2000-07-01,4,2.66,2.575,82.7125
2000-08-01,9,3.26,2.761111111111111,148.8422222222222
2000-09-01,7,3.25,2.748571428571428,140.31571428571428
2000-10-01,9,3.27,2.8111111111111113,181.65666666666667
2000-11-01,9,3.18,2.8499999999999996,200.09444444444443
2000-12-01,4,2.98,2.6825,138.2575
2001-01-01,8,3.45,2.9275,185.71875
2001-02-01,1,2.56,2.56,191.34
2001-03-01,8,3.2,2.7125,153.72625
2001-04-01,13,5.47,3.167692307692308,190.1530769230769
2001-05-01,9,3.29,2.921111111111111,198.8422222222222
2001-06-01,12,2.9,2.69,203.18083333333334
2001-07-01,11,3.35,2.7772727272727273,172.8081818181818
2001-08-01,14,3.28,2.7528571428571427,124.54714285714286
2001-09-01,6,3.55,2.8666666666666667,160.87333333333333
2001-10-01,6,2.81,2.6366666666666667,110.015
2001-11-01,3,2.69,2.5666666666666664,191.34333333333333
2001-12-01,7,3.31,2.6885714285714286,117.81714285714285
2002-01-01,5,2.67,2.606,124.40599999999999
2002-02-01,12,3.08,2.668333333333333,124.3125
2002-03-01,5,2.95,2.6879999999999997,180.658
2002-04-01,5,2.97,2.732,163.22
2002-05-01,10,3.39,2.92,185.156
2002-06-01,8,3.18,2.83875,188.53
2002-07-01,4,3.06,2.7475,128.4125
2002-08-01,13,2.93,2.7361538461538464,136.3923076923077
2002-09-01,9,4.28,3.0644444444444443,181.1877777777778
2002-10-01,8,3.03,2.71625,158.825
2002-11-01,9,3.06,2.7588888888888885,205.09333333333333
2002-12-01,9,2.94,2.67,186.65555555555557
2003-01-01,7,2.95,2.65,114.20142857142856
2003-02-01,4,3.02,2.705,111.1875
2003-03-01,6,2.67,2.57,87.28166666666668
2003-04-01,3,2.67,2.6133333333333333,183.37666666666667
2003-05-01,30,3.09,2.6199999999999997,186.32866666666666
2003-06-01,29,2.87,2.5817241379310345,131.16551724137932
2003-07-01,19,3.16,2.6657894736842103,137.3878947368421
2003-08-01,32,2.83,2.5909375,110.83625
2003-09-01,11,3.03,2.673636363636364,143.40272727272728
2003-10-01,12,3.36,2.6950000000000003,112.59333333333332
2003-11-01,16,2.88,2.66125,198.726875
2003-12-01,13,2.74,2.5938461538461537,184.0953846153846
2004-01-01,7,2.6,2.5700000000000003,148.15142857142857
2004-02-01,16,2.96,2.644375,142.47625
2004-03-01,9,3.36,2.792222222222222,189.7811111111111
2004-04-01,21,2.87,2.6123809523809522,174.66761904761904
2004-05-01,23,3.07,2.6404347826086956,138.82304347826087
2004-06-01,15,2.84,2.6199999999999997,158.81199999999998
2004-07-01,31,3.19,2.6154838709677417,145.52774193548387
2004-08-01,16,3.0,2.633125,161.72375
