site_id,n_transects,median_slope_m_per_year,mean_slope_m_per_year
nzd0382,218,-0.4465141362919778,-0.5222306122171634
nzd0384,74,1.2717165553394176,2.079739581707248
nzd0386,9,5.9690334755548795,6.353296256256008
nzd0387,50,1.2743603343096874,1.2152636274009492
nzd0390,143,0.7648725179902522,0.7804132860975705
nzd0391,22,0.5052780967287708,0.5183729188554407
nzd0393,103,0.9922541754614467,0.6352751579260896
nzd0394,7,1.2713486795474211,1.269225163535607
nzd0396,12,0.5889265575354321,0.5813565299611003
nzd0397,8,-0.1593302461191469,-0.15272130099565476
nzd0399,306,0.2043909274189869,-0.004196826352075763
nzd0401,10,0.11831395838768868,0.24157980605330137
nzd0402,31,0.30015216741757395,-0.0524177159686148
nzd0403,12,-1.3242770738982526,-1.1756973810027767
nzd0405,3,-0.1910657791717793,-0.30742156166789175
nzd0406,11,-0.39372184306385344,-0.3693062824772916
nzd0407,45,-0.32743876691674023,-0.24689012984976746
nzd0408,5,-0.2579145060831684,-0.20051657139171458
nzd0410,21,-0.029665757395539828,-0.059616890455892815
nzd0411,29,0.028783539101615522,0.017440679626635668
nzd0412,70,0.616804825180491,0.4782122252741252
nzd0415,112,-0.41173583509602885,-0.4996116510590403
nzd0416,9,-0.6829390402761888,-0.6848600163834099
nzd0417,34,-0.16057590255039694,-0.19562446465373384
nzd0420,13,-0.24213296094017248,-0.29793399331891857
nzd0421,52,-0.10560758537475656,-0.12891425646622615
nzd0424,231,-0.5178050773934957,-0.3553221058911157
nzd0430,180,0.20631368094334668,0.34756272318974984
nzd0437,262,0.25855177081161007,0.3272464989556468
nzd0439,26,1.907311278692229,2.1211606799305
nzd0440,7,0.023233717381823706,0.21326735597084404
nzd0447,284,0.060156135511129805,0.3937273772670858
nzd0448,282,-0.24218497815547885,-0.20918173026498643
nzd0451,447,0.21111182672254786,0.2961255322484014
nzd0454,446,0.12117830890366285,0.24134827894212582
nzd0580,10,-0.03915222399745898,0.10894919125679339
nzd0581,5,-0.35886278902393065,-0.22740357309986284
