month,mean_shoreline_change,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir,erosion_month,storm_type,whacs_max_peak_Hs,whacs_mean_peak_Hs,whacs_mean_dir,whacs_storm_hours,whacs_storm_count
1999-01-07,,10.0,3.22,2.694,150.844,20.0,6.1611,4.8350275,148.5197,False,1,6.812,2.127985303114572,159.03205969595848,292629.0,1786339.0
1999-01-08,2.105517241379311,7.0,3.6,3.117142857142857,177.68285714285713,2.0,4.4776,4.375579999999999,195.086,False,2,6.5,1.9811892319671485,148.609057791332,198995.0,1786339.0
1999-01-09,3.2660157126823792,2.0,3.62,3.16,161.10500000000002,7.0,4.5849,4.377565714285714,197.31242857142857,False,2,5.302,1.7974870953065134,150.50932375478928,145219.0,1728720.0
1999-01-10,3.7807142857142857,,,,,,,,,False,1,4.918,1.720055592183399,159.78924365755734,129143.0,1786339.0
1999-01-11,1.1936590909090912,,,,,,,,,False,1,5.612,1.8490654454022988,126.3607146791188,146759.0,1728720.0
1999-01-12,-0.0192503912363065,,,,,6.0,5.73823,5.005708333333334,200.6663333333333,True,1,5.606,1.7127860645442368,155.20677943909638,102258.0,1786339.0
2000-01-01,0.2169435104236719,,,,,8.0,4.88751,4.33267125,180.0294125,False,1,6.794,1.6187202354467929,155.01167083796813,97899.0,1786344.0
2000-01-02,1.4364026349614398,,,,,,,,,False,1,5.04,1.7785882208680144,163.7284351466508,102886.0,1671091.0
2000-01-03,2.0433070422535207,,,,,2.0,4.23576,4.208635,164.5115,False,1,5.226,1.768771324619948,153.85508609102706,101568.0,1786344.0
2000-01-04,-0.4601316595223522,,,,,5.0,6.45521,5.412306,196.1088,True,1,7.534,2.0016957915318185,155.16289737630763,182069.0,1728715.0
2000-01-05,1.6469832167832172,,,,,4.0,4.29357,4.1511925,58.17205,False,1,5.022,1.7023113366703746,155.39143249443828,135562.0,1786344.0
2000-01-06,-0.4502693548387096,,,,,12.0,5.4482,4.731565,187.12833333333333,True,1,7.182,2.0617896443345565,147.29933320960973,227529.0,1728715.0
2000-01-07,-0.5544607087827434,4.0,2.66,2.575,82.7125,,,,,True,0,4.968,1.7456668593973592,118.94478242481476,97474.0,1786339.0
2000-01-08,-0.3754047619047614,9.0,3.26,2.761111111111111,148.8422222222222,5.0,6.22455,5.43743,201.027,True,2,7.234,2.1301017079162032,160.1246424267705,217846.0,1786339.0
2000-01-09,0.0129363110008272,7.0,3.25,2.748571428571428,140.31571428571428,5.0,5.06071,4.686322,188.3956,False,2,5.14,1.948460701440141,145.4921959635822,145128.0,1728715.0
2000-01-10,-0.0278858267716541,9.0,3.27,2.811111111111112,181.65666666666667,8.0,6.8488,5.7570225,203.074875,True,2,7.538,1.767221136911383,163.28446804319617,114932.0,1786339.0
2000-01-11,-1.5452694898941286,9.0,3.18,2.85,200.09444444444443,8.0,6.7559,5.2631875,204.711,True,2,6.684,1.7687493651183257,177.22075048342003,129872.0,1728715.0
2000-01-12,1.0039712732919246,4.0,2.98,2.6825,138.2575,,,,,False,0,6.012,1.488131897315868,126.48914331400232,56694.0,1786339.0
2001-01-01,3.520770690964313,8.0,3.45,2.9275,185.71875,3.0,4.76757,4.632806666666666,203.281,False,2,6.166,1.647153685986381,167.3228336147034,115733.0,1786339.0
2001-01-02,0.8449750138811776,1.0,2.56,2.56,191.34,,,,,False,1,4.594,1.5226549132799674,155.81923978858785,59044.0,1613467.0
2001-01-03,1.211938775510205,8.0,3.2,2.7125,153.72625,,,,,False,1,5.864,1.6193818362995922,148.94353900166854,72790.0,1786339.0
2001-01-04,0.1775410583941588,13.0,5.47,3.167692307692308,190.1530769230769,7.0,5.00398,4.725281428571429,199.78185714285715,False,2,8.486,1.842959552203065,164.43478424329504,152247.0,1728720.0
2001-01-05,-1.4935210341805427,9.0,3.29,2.921111111111111,198.8422222222222,6.0,4.83473,4.538775,204.1685,True,2,6.062,1.8726761432565624,148.58877536241118,153775.0,1786339.0
2001-01-06,-1.4649858457183298,12.0,2.9,2.69,203.1808333333333,3.0,4.596,4.408803333333334,201.712,True,1,5.516,1.8282742600574713,161.463125,149102.0,1728720.0
2001-01-07,-3.5990518274415813,11.0,3.35,2.777272727272728,172.8081818181818,27.0,5.09981,4.638132222222222,144.60322222222223,True,2,5.99,2.363231134310891,167.7081688459912,351525.0,1786339.0
2001-01-08,1.369111186211558,14.0,3.28,2.7528571428571427,124.54714285714286,,,,,False,0,6.016,1.8482740568223952,128.28628823692992,127486.0,1786344.0
2001-01-09,0.917175609756098,6.0,3.55,2.8666666666666667,160.8733333333333,4.0,4.19941,4.09966,202.242,False,2,5.66,1.5633778568007664,152.4347047413793,82946.0,1728715.0
2001-01-10,1.324252661752661,6.0,2.81,2.6366666666666667,110.015,,,,,False,0,4.746,1.5549978888579905,145.74343031609197,61783.0,1786344.0
2001-01-11,2.7284615384615383,3.0,2.69,2.5666666666666664,191.34333333333333,1.0,4.54273,4.54273,213.698,False,1,5.222,1.6524004310344829,141.91109985632184,77754.0,1728715.0
2001-01-12,0.8573166023166019,7.0,3.31,2.6885714285714286,117.81714285714284,,,,,False,0,6.242,1.5979047043010752,121.8304231553578,57091.0,1786339.0
2002-01-01,0.0951588983050847,5.0,2.67,2.606,124.406,1.0,4.02764,4.02764,117.183,False,0,4.562,1.583019255190953,138.82675241008528,119247.0,1786344.0
2002-01-02,-1.0872487562189053,12.0,3.08,2.668333333333333,124.3125,12.0,6.59676,5.518275,180.80341666666664,True,0,8.222,2.071088484733417,139.3893042194293,179359.0,1613462.0
2002-01-03,-1.0072960108794198,5.0,2.95,2.688,180.658,9.0,4.3738,4.185147777777778,200.05288888888887,True,1,6.294,1.7076029454022987,162.12489108268446,85810.0,1786344.0
2002-01-04,2.952177197802197,5.0,2.97,2.732,163.22,25.0,5.71429,4.4275216,176.605,False,1,6.342,1.9996038242566103,167.86652314728897,198093.0,1728710.0
2002-01-05,-4.61541680077245,10.0,3.39,2.92,185.156,48.0,6.0445,4.816916666666667,202.98458333333332,True,2,7.196,2.3045773289766407,170.36537170930666,304015.0,1786339.0
2002-01-06,-2.496476749057394,8.0,3.18,2.83875,188.53,11.0,5.54896,4.848724545454545,202.40990909090908,True,2,6.738,1.9816730555555555,161.66988350095784,200108.0,1728715.0
2002-01-07,-0.5306422478675372,4.0,3.06,2.7475,128.4125,7.0,5.45966,4.932645714285714,201.32385714285712,True,0,6.09,1.7747546461035764,146.16153203520136,151011.0,1786339.0
2002-01-08,0.3355038593481984,13.0,2.93,2.7361538461538464,136.3923076923077,23.0,7.11236,5.080336956521739,198.685,False,0,7.346,2.1362019999073043,152.94973836670374,226606.0,1786344.0
2002-01-09,2.151317651956703,9.0,4.28,3.0644444444444443,181.1877777777778,2.0,4.35183,4.3129,203.5475,False,2,6.16,1.6660007207897558,158.03825429989402,123765.0,1728715.0
2002-01-10,1.923992359121299,8.0,3.03,2.71625,158.825,,,,,False,1,5.592,1.6974695286429369,161.1481277808676,114259.0,1786344.0
2002-01-11,0.8098264324550404,9.0,3.06,2.7588888888888885,205.09333333333333,10.0,5.02143,4.523574,196.638,False,2,6.78,1.8338142552681993,164.51131812739465,178216.0,1728715.0
2002-01-12,0.5205263157894737,9.0,2.94,2.67,186.6555555555556,4.0,4.37522,4.2336525,196.4195,False,1,5.122,1.6466625417130143,147.37250254912863,83418.0,1786344.0
2003-01-01,1.0558943329397867,7.0,2.95,2.65,114.20142857142856,,,,,False,0,4.516,1.6126689168520578,147.91305779569893,103337.0,1786339.0
2003-01-02,2.078036980749747,4.0,3.02,2.705,111.1875,,,,,False,0,4.404,1.676053925492611,143.56970417692938,75029.0,1613472.0
2003-01-03,-1.0213544973544983,6.0,2.67,2.57,87.28166666666668,4.0,4.80826,4.613865,62.314725,True,0,5.778,1.6141371323295115,138.55288661525893,99095.0,1786339.0
2003-01-04,-1.7691072005166288,3.0,2.67,2.6133333333333333,183.3766666666667,21.0,5.35063,4.582262380952381,151.03694761904762,True,1,5.636,2.209582799329502,160.40884674329502,254076.0,1728720.0
2003-01-05,-4.308811252268603,30.0,3.09,2.62,186.32866666666663,2.0,4.05951,4.0422,203.4715,True,1,5.246,1.959940716536893,168.79302836484982,199120.0,1786339.0
2003-01-07,0.0765089141004853,19.0,3.16,2.6657894736842103,137.3878947368421,5.0,4.62047,4.258154,198.792,False,0,5.034,1.892831979977753,153.62320274842418,171419.0,1786339.0
2003-01-08,1.2216021939953812,32.0,2.83,2.5909375,110.83625,2.0,4.4657,4.23435,54.665400000000005,False,0,5.442,1.856962398975708,120.47390905351462,129089.0,1786339.0
2003-01-09,-0.1274521276595744,11.0,3.03,2.673636363636364,143.40272727272728,,,,,True,1,6.532,1.8137451556513409,138.36850921934865,124205.0,1728715.0
2003-01-10,3.2671239328819546,12.0,3.36,2.6950000000000003,112.59333333333332,9.0,4.61138,4.326751111111111,205.61244444444444,False,0,5.368,1.7685064452774222,142.3677974821415,122961.0,1786339.0
2003-01-11,0.8434369577790635,16.0,2.88,2.66125,198.726875,1.0,4.06926,4.06926,198.167,False,1,6.048,1.7290029178674782,176.70094660075026,114954.0,1728715.0
2003-01-12,-0.6594807755504442,13.0,2.74,2.5938461538461537,184.0953846153846,,,,,True,1,5.316,1.5764913955320727,161.27779778457543,65535.0,1786339.0
2004-01-01,-0.6280579964850614,7.0,2.6,2.5700000000000003,148.15142857142857,,,,,True,1,5.414,1.4140854027623286,114.75094456803856,50339.0,1786339.0
2004-01-02,0.0873382473382478,16.0,2.96,2.644375,142.47625,13.0,7.07815,5.26376,194.7134615384616,False,1,10.49,2.071855558858502,158.43288879805786,202978.0,1671091.0
2004-01-03,1.0203197226502307,9.0,3.36,2.792222222222222,189.7811111111111,12.0,5.59038,4.57564,204.31625,False,2,6.398,1.9129342208935856,168.12767785965886,188497.0,1786344.0
2004-01-04,0.5733607471424589,21.0,2.87,2.612380952380952,174.66761904761904,11.0,5.74161,4.805348181818181,200.10945454545453,False,1,6.538,1.7314733828626847,166.1319502631122,104291.0,1728715.0
2004-01-05,-0.0815147531405198,23.0,3.07,2.640434782608696,138.82304347826087,3.0,4.36007,4.2595600000000005,206.06833333333336,True,1,5.962,1.806839481368187,138.6736316972562,102706.0,1786344.0
2004-01-06,-0.151874460120933,15.0,2.84,2.62,158.81199999999998,20.0,6.67088,5.282197,180.545415,True,1,7.276,1.9027885799124755,156.69002113278935,164498.0,1728715.0
2004-01-07,0.4864025937411893,31.0,3.19,2.6154838709677417,145.52774193548387,5.0,4.47523,4.236867999999999,196.7878,False,1,7.174,1.895849360400445,154.4617558861698,163639.0,1786344.0
2004-01-08,-1.0839908833700092,16.0,3.0,2.633125,161.72375,24.0,4.93846,4.411785416666667,167.80538333333334,True,1,7.646,2.402703357897664,145.87946398776418,369201.0,1786339.0
2004-01-09,-0.0065281650864471,16.0,2.97,2.640625,125.865625,13.0,5.57548,4.7106,202.7246923076923,True,0,7.156,1.9787446791187744,153.42127155172415,183604.0,1728720.0
2004-01-10,0.1293884090275841,16.0,2.97,2.66875,194.686875,3.0,4.69355,4.448336666666667,201.48766666666663,False,1,5.638,1.720815088524286,168.26892368835743,135871.0,1786339.0
2004-01-11,-0.1721403385049363,12.0,2.8,2.6091666666666664,184.8083333333333,9.0,4.68454,4.280132222222223,199.68366666666668,True,1,5.656,1.7934520522030653,134.9931415229885,128430.0,1728720.0
2004-01-12,-0.4765063187933144,36.0,2.89,2.613611111111111,151.64999999999998,21.0,5.62757,4.703184285714285,192.8475238095238,True,1,5.888,2.030649489302288,162.3297103825453,202255.0,1786339.0
2005-01-01,2.1138907469342256,10.0,2.87,2.616,139.32,,,,,False,0,4.862,1.3123041753810678,146.74676438383148,26941.0,1786339.0
2005-01-02,1.853655935613682,17.0,2.79,2.5752941176470587,138.2470588235294,,,,,False,0,4.482,1.5162452457922824,123.37144550492611,40894.0,1613467.0
