month,whacs_storm_count,whacs_max_peak_Hs,whacs_mean_peak_Hs,whacs_mean_dir,whacs_storm_hours,month_str
1999-01-01,1786339,4.266,1.5576792570448648,127.50713964590285,61613,1999-01-01
1999-02-01,1613472,5.494,1.5845810344827587,130.7783875974959,63916,1999-01-02
1999-03-01,1786334,6.796,1.738401392767343,125.82722292388446,107516,1999-01-03
1999-04-01,1728715,6.418,1.860188741551374,155.193916390783,123211,1999-01-04
1999-05-01,1786339,6.926,1.8341910201149427,163.36445367538005,144618,1999-01-05
1999-06-01,1728715,5.868,1.8822334410919541,176.758001795977,137681,1999-01-06
1999-07-01,1786339,6.812,2.127985303114572,159.03205969595848,292629,1999-01-07
1999-08-01,1786339,6.5,1.9811892319671485,148.609057791332,198995,1999-01-08
1999-09-01,1728720,5.302,1.7974870953065134,150.50932375478928,145219,1999-01-09
1999-10-01,1786339,4.918,1.7200555921833993,159.78924365755734,129143,1999-01-10
1999-11-01,1728720,5.612,1.8490654454022988,126.36071467911879,146759,1999-01-11
1999-12-01,1786339,5.606,1.7127860645442368,155.20677943909638,102258,1999-01-12
2000-01-01,1786344,6.794,1.6187202354467927,155.01167083796813,97899,2000-01-01
2000-02-01,1671091,5.04,1.7785882208680144,163.7284351466508,102886,2000-01-02
2000-03-01,1786344,5.226,1.7687713246199481,153.85508609102706,101568,2000-01-03
2000-04-01,1728715,7.534,2.0016957915318185,155.16289737630763,182069,2000-01-04
2000-05-01,1786344,5.022,1.7023113366703746,155.39143249443828,135562,2000-01-05
2000-06-01,1728715,7.182,2.0617896443345565,147.29933320960973,227529,2000-01-06
2000-07-01,1786339,4.968,1.7456668593973592,118.94478242481475,97474,2000-01-07
2000-08-01,1786339,7.234,2.1301017079162032,160.1246424267705,217846,2000-01-08
2000-09-01,1728715,5.14,1.948460701440141,145.4921959635822,145128,2000-01-09
2000-10-01,1786339,7.538,1.767221136911383,163.28446804319617,114932,2000-01-10
2000-11-01,1728715,6.684,1.7687493651183255,177.22075048342003,129872,2000-01-11
2000-12-01,1786339,6.012,1.488131897315868,126.48914331400232,56694,2000-01-12
2001-01-01,1786339,6.166,1.647153685986381,167.3228336147034,115733,2001-01-01
2001-02-01,1613467,4.594,1.5226549132799674,155.81923978858785,59044,2001-01-02
2001-03-01,1786339,5.864,1.6193818362995922,148.94353900166854,72790,2001-01-03
2001-04-01,1728720,8.486,1.842959552203065,164.43478424329504,152247,2001-01-04
2001-05-01,1786339,6.062,1.8726761432565622,148.58877536241118,153775,2001-01-05
2001-06-01,1728720,5.516,1.8282742600574713,161.463125,149102,2001-01-06
2001-07-01,1786339,5.99,2.363231134310891,167.7081688459912,351525,2001-01-07
2001-08-01,1786344,6.016,1.8482740568223952,128.28628823692992,127486,2001-01-08
2001-09-01,1728715,5.66,1.5633778568007664,152.4347047413793,82946,2001-01-09
2001-10-01,1786344,4.746,1.5549978888579903,145.74343031609195,61783,2001-01-10
2001-11-01,1728715,5.222,1.6524004310344829,141.91109985632184,77754,2001-01-11
2001-12-01,1786339,6.242,1.5979047043010752,121.8304231553578,57091,2001-01-12
2002-01-01,1786344,4.562,1.583019255190953,138.82675241008528,119247,2002-01-01
2002-02-01,1613462,8.222,2.071088484733417,139.3893042194293,179359,2002-01-02
2002-03-01,1786344,6.294,1.7076029454022987,162.12489108268446,85810,2002-01-03
2002-04-01,1728710,6.342,1.9996038242566105,167.86652314728897,198093,2002-01-04
2002-05-01,1786339,7.196,2.3045773289766407,170.36537170930666,304015,2002-01-05
2002-06-01,1728715,6.738,1.9816730555555555,161.66988350095784,200108,2002-01-06
2002-07-01,1786339,6.09,1.7747546461035764,146.16153203520136,151011,2002-01-07
2002-08-01,1786344,7.346,2.1362019999073043,152.94973836670374,226606,2002-01-08
2002-09-01,1728715,6.16,1.6660007207897558,158.03825429989402,123765,2002-01-09
2002-10-01,1786344,5.592,1.6974695286429367,161.1481277808676,114259,2002-01-10
2002-11-01,1728715,6.78,1.8338142552681993,164.51131812739465,178216,2002-01-11
2002-12-01,1786344,5.122,1.6466625417130143,147.37250254912865,83418,2002-01-12
2003-01-01,1786339,4.516,1.6126689168520578,147.91305779569893,103337,2003-01-01
2003-02-01,1613472,4.404,1.676053925492611,143.56970417692938,75029,2003-01-02
2003-03-01,1786339,5.778,1.6141371323295117,138.55288661525893,99095,2003-01-03
2003-04-01,1728720,5.636,2.209582799329502,160.40884674329502,254076,2003-01-04
2003-05-01,1786339,5.246,1.959940716536893,168.79302836484982,199120,2003-01-05
2003-06-01,1728715,6.008,1.8714297451493365,141.06155388861285,170571,2003-01-06
2003-07-01,1786339,5.034,1.892831979977753,153.62320274842418,171419,2003-01-07
2003-08-01,1786339,5.442,1.8569623989757078,120.47390905351462,129089,2003-01-08
2003-09-01,1728715,6.532,1.8137451556513409,138.36850921934865,124205,2003-01-09
2003-10-01,1786339,5.368,1.7685064452774222,142.3677974821415,122961,2003-01-10
