month,mean_shoreline_change,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir,erosion_month
1999-07-01,,10.0,3.22,2.694,150.844,20.0,6.1611,4.8350275,148.5197,False
1999-08-01,2.105517241379311,7.0,3.6,3.117142857142857,177.68285714285713,2.0,4.4776,4.375579999999999,195.086,False
1999-09-01,3.2660157126823792,2.0,3.62,3.16,161.10500000000002,7.0,4.5849,4.377565714285714,197.31242857142857,False
1999-10-01,3.7807142857142857,,,,,,,,,False
1999-11-01,1.1936590909090912,,,,,,,,,False
1999-12-01,-0.019250391236306525,,,,,6.0,5.73823,5.005708333333334,200.66633333333334,True
2000-01-01,0.2169435104236719,,,,,8.0,4.88751,4.33267125,180.0294125,False
2000-02-01,1.4364026349614398,,,,,,,,,False
2000-03-01,2.0433070422535207,,,,,2.0,4.23576,4.208635,164.5115,False
2000-04-01,-0.4601316595223522,,,,,5.0,6.45521,5.412306,196.1088,True
2000-05-01,1.6469832167832172,,,,,4.0,4.29357,4.1511925,58.17205,False
2000-06-01,-0.45026935483870967,,,,,12.0,5.4482,4.731565,187.12833333333333,True
2000-07-01,-0.5544607087827434,4.0,2.66,2.575,82.7125,,,,,True
2000-08-01,-0.37540476190476146,9.0,3.26,2.761111111111111,148.8422222222222,5.0,6.22455,5.43743,201.027,True
2000-09-01,0.012936311000827249,7.0,3.25,2.748571428571428,140.31571428571428,5.0,5.06071,4.686322,188.3956,False
2000-10-01,-0.027885826771654153,9.0,3.27,2.8111111111111113,181.65666666666667,8.0,6.8488,5.7570225,203.074875,True
2000-11-01,-1.5452694898941286,9.0,3.18,2.8499999999999996,200.09444444444443,8.0,6.7559,5.2631875,204.711,True
2000-12-01,1.0039712732919246,4.0,2.98,2.6825,138.2575,,,,,False
2001-01-01,3.520770690964313,8.0,3.45,2.9275,185.71875,3.0,4.76757,4.632806666666666,203.28099999999998,False
2001-02-01,0.8449750138811776,1.0,2.56,2.56,191.34,,,,,False
2001-03-01,1.2119387755102047,8.0,3.2,2.7125,153.72625,,,,,False
2001-04-01,0.17754105839415885,13.0,5.47,3.167692307692308,190.1530769230769,7.0,5.00398,4.725281428571429,199.78185714285715,False
2001-05-01,-1.4935210341805427,9.0,3.29,2.921111111111111,198.8422222222222,6.0,4.83473,4.538775,204.1685,True
2001-06-01,-1.4649858457183298,12.0,2.9,2.69,203.18083333333334,3.0,4.596,4.408803333333334,201.712,True
2001-07-01,-3.5990518274415813,11.0,3.35,2.7772727272727273,172.8081818181818,27.0,5.09981,4.638132222222222,144.60322222222223,True
2001-08-01,1.3691111862115581,14.0,3.28,2.7528571428571427,124.54714285714286,,,,,False
2001-09-01,0.9171756097560979,6.0,3.55,2.8666666666666667,160.87333333333333,4.0,4.19941,4.09966,202.242,False
2001-10-01,1.3242526617526613,6.0,2.81,2.6366666666666667,110.015,,,,,False
2001-11-01,2.7284615384615383,3.0,2.69,2.5666666666666664,191.34333333333333,1.0,4.54273,4.54273,213.698,False
2001-12-01,0.8573166023166019,7.0,3.31,2.6885714285714286,117.81714285714285,,,,,False
2002-01-01,0.09515889830508478,5.0,2.67,2.606,124.40599999999999,1.0,4.02764,4.02764,117.183,False
2002-02-01,-1.0872487562189053,12.0,3.08,2.668333333333333,124.3125,12.0,6.59676,5.518275,180.80341666666666,True
2002-03-01,-1.0072960108794198,5.0,2.95,2.6879999999999997,180.658,9.0,4.3738,4.185147777777778,200.05288888888887,True
2002-04-01,2.952177197802197,5.0,2.97,2.732,163.22,25.0,5.71429,4.4275216,176.605,False
2002-05-01,-4.61541680077245,10.0,3.39,2.92,185.156,48.0,6.0445,4.816916666666667,202.98458333333335,True
2002-06-01,-2.4964767490573934,8.0,3.18,2.83875,188.53,11.0,5.54896,4.848724545454545,202.40990909090908,True
2002-07-01,-0.5306422478675372,4.0,3.06,2.7475,128.4125,7.0,5.45966,4.932645714285714,201.32385714285712,True
2002-08-01,0.33550385934819843,13.0,2.93,2.7361538461538464,136.3923076923077,23.0,7.11236,5.080336956521739,198.685,False
2002-09-01,2.1513176519567034,9.0,4.28,3.0644444444444443,181.1877777777778,2.0,4.35183,4.3129,203.5475,False
2002-10-01,1.923992359121299,8.0,3.03,2.71625,158.825,,,,,False
2002-11-01,0.8098264324550404,9.0,3.06,2.7588888888888885,205.09333333333333,10.0,5.02143,4.523574,196.638,False
2002-12-01,0.5205263157894737,9.0,2.94,2.67,186.65555555555557,4.0,4.37522,4.2336525,196.4195,False
2003-01-01,1.0558943329397867,7.0,2.95,2.65,114.20142857142856,,,,,False
2003-02-01,2.078036980749747,4.0,3.02,2.705,111.1875,,,,,False
2003-03-01,-1.0213544973544983,6.0,2.67,2.57,87.28166666666668,4.0,4.80826,4.613865,62.314724999999996,True
2003-04-01,-1.7691072005166288,3.0,2.67,2.6133333333333333,183.37666666666667,21.0,5.35063,4.582262380952381,151.03694761904762,True
2003-05-01,-4.308811252268603,30.0,3.09,2.6199999999999997,186.32866666666666,2.0,4.05951,4.0422,203.4715,True
2003-07-01,0.07650891410048538,19.0,3.16,2.6657894736842103,137.3878947368421,5.0,4.62047,4.258154,198.792,False
2003-08-01,1.2216021939953812,32.0,2.83,2.5909375,110.83625,2.0,4.4657,4.23435,54.665400000000005,False
2003-09-01,-0.12745212765957442,11.0,3.03,2.673636363636364,143.40272727272728,,,,,True
