,count,unique,top,freq,mean,std,min,25%,50%,75%,max
mean_shoreline_change,313.0,,,,0.06494290090386125,1.3996754589771025,-6.091395184135977,-0.7110738255033553,0.0637364168292002,0.868103762135923,5.756565333333334
ecan_storm_hours,300.0,,,,23.92,13.432860422502527,1.0,14.0,22.0,31.25,75.0
ecan_max_Hs,300.0,,,,2.941,0.2774905464056057,2.56,2.79,2.87,3.0124999999999997,5.47
ecan_mean_Hs,300.0,,,,2.6265147170571264,0.08080389806110036,2.5495454545454543,2.5899,2.6087450980392157,2.631277089783282,3.167692307692308
ecan_mean_dir,300.0,,,,151.02246848227153,30.796933018530797,62.13999999999999,130.49011904761903,153.5282602339181,174.90546874999998,234.9
model_storm_hours,183.0,,,,11.07103825136612,9.568743904250036,1.0,4.0,8.0,15.0,54.0
model_max_Hs,183.0,,,,5.37062256830601,1.0323465701697132,4.02764,4.50615,5.13255,6.038125,8.71274
model_mean_Hs,183.0,,,,4.665121681195808,0.4432030848117802,4.02764,4.301010333333334,4.605518333333333,4.8988394771241826,6.450096666666667
model_mean_dir,183.0,,,,182.8035435768155,34.81478590041044,45.7828,180.5860075,197.3959090909091,202.0479044117647,224.124
erosion_month,314,2,False,163,,,,,,,
